City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lumut,4.23,100.63,77.86,87,82,5.59,MY,1603824456
Tessaoua,13.76,7.99,86.4,15,0,5.86,NE,1603824459
Ol'ga,43.74,135.29,41.22,81,59,3.0,RU,1603824463
Lamar,33.67,-95.58,48.0,100,90,8.05,US,1603824466
Longyearbyen,78.22,15.64,30.2,80,75,5.82,SJ,1603824469
Whitehorse,60.72,-135.05,32.0,89,75,5.82,CA,1603824472
Biu,10.61,12.19,76.78,30,0,3.49,NG,1603824475
Henties Bay,-22.12,14.28,59.0,86,0,4.0,NA,1603824478
Khovd,48.01,91.64,30.88,79,99,0.78,MN,1603824481
Catuday,16.29,119.81,78.75,86,100,10.07,PH,1603824485
College,64.86,-147.8,26.6,92,90,4.63,US,1603824488
Kayerkan,69.35,87.76,-1.97,86,0,5.21,RU,1603824491
Province of Trapani,37.83,12.67,66.0,59,75,11.41,IT,1603824494
La Trinitaria,16.12,-92.05,72.52,75,52,6.91,MX,1603824497
Gijang,35.24,129.21,55.4,76,100,3.36,KR,1603824500
Maridi,4.92,29.47,70.2,92,100,1.79,SS,1603824503
Kamaishi,39.27,141.88,51.01,72,29,4.83,JP,1603824262
Sorrento,40.63,14.37,60.8,63,75,8.05,IT,1603824508
Kahului,20.89,-156.47,80.6,69,20,1.54,US,1603824513
Enshi,30.3,109.48,57.96,82,100,1.83,CN,1603824516
Lebu,-37.62,-73.65,54.54,60,90,12.35,CL,1603824519
Maniitsoq,65.42,-52.9,21.99,87,0,5.95,GL,1603824522
Tuktoyaktuk,69.45,-133.04,10.4,92,90,11.41,CA,1603824525
Tilichiki,60.47,166.1,24.64,94,90,9.42,RU,1603824528
Japura,-0.32,102.35,74.75,95,100,2.66,ID,1603824531
Akranes,64.32,-22.07,42.8,41,0,20.8,IS,1603824534
Vaini,-21.2,-175.2,69.8,94,75,5.82,TO,1603824538
Kumul,42.8,93.45,45.1,47,0,7.72,CN,1603824541
Ballina,-28.87,153.57,62.6,100,90,5.82,AU,1603824544
Matara,5.95,80.54,77.2,89,90,6.24,LK,1603824547
Shalyhyne,51.57,34.12,48.52,66,64,11.61,UA,1603824550
Byron Bay,-28.65,153.62,62.6,100,90,5.82,AU,1603824325
Mar del Plata,-38.0,-57.56,66.2,52,0,11.41,AR,1603824556
Port Huron,42.97,-82.42,37.99,86,90,7.05,US,1603824559
Sitka,57.05,-135.33,44.6,87,90,4.7,US,1603824563
Mabaruma,8.2,-59.78,87.24,56,4,7.07,GY,1603824566
Tsimmerbude,54.67,20.13,53.6,87,75,4.47,RU,1603824569
Brae,60.4,-1.35,50.0,71,75,10.29,GB,1603824572
Port Keats,-14.25,129.55,79.16,73,2,2.51,AU,1603824575
Bubaque,11.28,-15.83,83.62,78,6,10.74,GW,1603824578
Port Lincoln,-34.73,135.87,55.11,85,0,5.08,AU,1603824581
Mocuba,-16.84,36.99,74.71,79,0,5.68,MZ,1603824584
Ahipara,-35.17,173.17,60.73,85,78,3.0,NZ,1603824588
Fortuna,40.6,-124.16,64.4,34,1,6.11,US,1603824484
Chitipa,-9.7,33.27,68.47,64,10,6.22,MW,1603824594
Daru,-9.08,143.21,79.14,87,100,7.23,PG,1603824597
Kainantu,-6.29,145.87,59.47,93,100,1.5,PG,1603824600
Ladário,-19.0,-57.6,86.0,58,75,2.24,BR,1603824362
Emerald,-23.53,148.17,64.4,100,0,6.98,AU,1603824606
Cristalina,-16.77,-47.61,77.9,65,74,7.18,BR,1603824609
Paris,48.85,2.35,55.4,100,90,14.99,FR,1603824417
Sagua de Tánamo,20.58,-75.24,88.7,56,0,10.04,CU,1603824616
Guerrero Negro,27.98,-114.06,74.28,19,0,19.42,MX,1603824619
Marawi,8.0,124.29,75.0,89,100,5.99,PH,1603824622
Ulundi,-28.34,31.42,73.89,67,100,4.9,ZA,1603824625
Mahébourg,-20.41,57.7,71.01,77,3,1.99,MU,1603824628
Castro,-24.79,-50.01,77.4,41,0,7.61,BR,1603824632
Los Llanos de Aridane,28.66,-17.92,71.6,68,75,11.41,ES,1603824635
San Patricio,28.02,-97.52,62.6,82,90,14.99,US,1603824638
Lagoa,39.05,-27.98,62.96,66,100,11.63,PT,1603824641
São Raimundo Nonato,-9.02,-42.7,74.75,90,100,4.92,BR,1603824644
Vila do Maio,15.13,-23.22,86.0,51,100,9.17,CV,1603824647
Meulaboh,4.14,96.13,76.06,88,64,4.0,ID,1603824650
Vanderhoof,54.02,-124.02,43.5,91,100,5.14,CA,1603824653
Amuntai,-2.42,115.25,74.14,95,100,1.32,ID,1603824656
Muros,42.78,-9.06,59.0,93,100,3.0,ES,1603824659
Bud,39.45,-86.18,46.99,93,90,3.24,US,1603824663
Port Elizabeth,-33.92,25.57,62.6,93,20,9.17,ZA,1603824666
Torbay,47.67,-52.73,42.8,100,90,6.93,CA,1603824669
Eureka,40.8,-124.16,64.4,58,1,3.36,US,1603824552
Gizo Government Station,-8.1,156.84,82.29,78,84,9.26,SB,1603824675
Sweetwater,25.76,-80.37,88.0,58,40,14.99,US,1603824678
Bodden Town,19.28,-81.25,86.0,78,100,11.99,KY,1603824681
Nuuk,64.18,-51.72,26.6,73,20,3.36,GL,1603824684
Tiksi,71.69,128.87,0.45,91,56,9.04,RU,1603824688
Kaeo,-35.1,173.78,61.0,95,94,2.13,NZ,1603824607
Port Moresby,-9.44,147.18,77.0,88,75,5.82,PG,1603824694
Río Gallegos,-51.62,-69.22,48.2,42,40,20.8,AR,1603824697
Upernavik,72.79,-56.15,17.46,83,0,5.91,GL,1603824700
Uyskoye,54.38,60.0,27.0,92,83,7.36,RU,1603824703
San Cristobal,7.77,-72.22,78.89,67,89,0.98,VE,1603824706
Evanston,42.04,-87.69,36.0,74,90,4.7,US,1603824433
Paso de Carrasco,-34.86,-56.05,66.2,59,20,11.41,UY,1603824712
Vao,-22.67,167.48,72.52,82,99,18.39,NC,1603824716
Sabang,5.89,95.32,82.09,76,99,18.9,ID,1603824719
Ancud,-41.87,-73.82,53.6,62,75,18.34,CL,1603824722
Gravdal,68.12,13.5,35.6,93,20,1.12,NO,1603824725
Itarema,-2.92,-39.92,83.26,67,1,15.1,BR,1603824728
Ugra,54.78,34.33,45.16,82,38,7.49,RU,1603824731
Laguna,38.42,-121.42,68.0,32,0,1.01,US,1603824734
Celestún,20.87,-90.4,80.47,85,100,17.72,MX,1603824737
Codrington,-38.27,141.97,46.98,93,67,5.44,AU,1603824740
Mtwara,-10.27,40.18,77.0,78,40,6.93,TZ,1603824743
Kapiri Mposhi,-13.97,28.68,76.71,35,71,6.8,ZM,1603824747
Sept-Îles,50.2,-66.38,35.01,74,40,9.17,CA,1603824642
Rosarito,32.33,-117.03,71.6,13,5,8.05,MX,1603824753
Vestmannaeyjar,63.44,-20.27,41.9,73,31,35.86,IS,1603824756
Dīdwāna,27.4,74.57,68.04,23,0,5.84,IN,1603824759
Balsas,-7.53,-46.04,86.68,54,100,6.76,BR,1603824702
Rome,43.21,-75.46,45.0,75,90,3.36,US,1603824605
Panacan,9.25,118.41,77.0,94,90,4.7,PH,1603824768
Coquimbo,-29.95,-71.34,60.8,63,20,11.41,CL,1603824562
Dingle,11.0,122.67,76.08,87,89,4.21,PH,1603824767
Ayan,56.45,138.17,34.61,85,95,8.86,RU,1603824778
Klaksvík,62.23,-6.59,42.8,75,76,13.87,FO,1603824781
Portland,45.52,-122.68,51.01,65,0,1.34,US,1603824490
Vardø,70.37,31.11,37.4,86,75,13.87,NO,1603824787
Beloha,-25.17,45.05,70.74,82,1,13.78,MG,1603824790
Lavrentiya,65.58,-171.0,30.22,95,100,9.17,RU,1603824793
Kem',64.96,34.58,48.13,90,100,14.83,RU,1603824796
Tamala,52.54,43.25,35.38,82,69,10.18,RU,1603824799
Hervey Bay,-25.3,152.85,68.0,100,90,6.93,AU,1603824803
Haines Junction,60.75,-137.51,30.61,89,22,2.93,CA,1603824806
Carrefour,18.54,-72.4,93.2,44,20,6.93,HT,1603824809
Kirakira,-10.45,161.92,79.09,82,81,6.93,SB,1603824812
Bekwai,6.45,-1.58,74.26,91,100,3.53,GH,1603824815
Flin Flon,54.77,-101.86,28.4,86,90,4.7,CA,1603824818
Vestmanna,62.16,-7.17,42.8,75,91,13.87,FO,1603824821
Muroto-misakicho,33.28,134.15,66.25,71,97,5.7,JP,1603824824
Mehamn,71.04,27.85,35.6,86,0,8.05,NO,1603824828
Touros,-5.2,-35.46,84.2,62,20,16.11,BR,1603824831
Masuri,35.85,128.15,55.4,66,75,2.24,KR,1603824834
Airai,-8.93,125.41,60.96,100,25,0.83,TL,1603824837
Basse,52.55,9.51,52.0,71,75,12.75,DE,1603824840
Soyo,-6.13,12.37,77.45,86,16,10.63,AO,1603824843
Mnogovershinnyy,53.94,139.92,27.95,98,33,1.19,RU,1603824846
Namatanai,-3.67,152.43,78.89,79,44,2.13,PG,1603824745
Chadiza,-14.07,32.44,74.48,42,10,4.94,ZM,1603824853
Nanortalik,60.14,-45.24,30.92,89,100,3.96,GL,1603824772
Netanya,32.33,34.86,78.8,74,40,3.36,IL,1603824859
Meleuz,52.97,55.92,29.59,92,0,7.18,RU,1603824862
Okha,53.57,142.95,36.75,85,96,3.15,RU,1603824865
Waingapu,-9.66,120.26,79.21,76,100,3.76,ID,1603824868
Miramar,25.99,-80.23,89.6,59,1,16.11,US,1603824871
Dunedin,-45.87,170.5,48.99,79,0,8.99,NZ,1603824770
Atar,20.52,-13.05,90.9,15,0,11.92,MR,1603824877
Gamba,-2.65,10.0,77.76,85,100,6.53,GA,1603824881
Micomeseng,2.15,10.62,70.9,99,100,3.22,GQ,1603824884
Mossamedes,-15.2,12.15,70.18,80,85,7.52,AO,1603824887
Bonavista,48.65,-53.11,39.99,81,100,8.01,CA,1603824890
Luganville,-15.53,167.17,77.0,78,40,3.36,VU,1603824893
Pandan,14.05,124.17,78.28,82,69,4.07,PH,1603824896
Carnot,4.94,15.87,71.31,90,97,0.45,CF,1603824900
Laas,46.62,10.7,42.01,80,5,3.36,IT,1603824903
Loíza,18.43,-65.88,87.8,66,40,17.22,PR,1603824615
Bonthe,7.53,-12.51,81.32,79,98,5.84,SL,1603824909
Tremedal,-14.98,-41.41,84.15,61,96,5.35,BR,1603824912
Vila Franca do Campo,37.72,-25.43,64.4,68,75,8.05,PT,1603824915
Bilibino,68.05,166.44,-1.53,90,94,1.61,RU,1603824789
Yumen,40.28,97.2,41.05,62,100,5.97,CN,1603824921
Zhuanghe,39.7,122.99,46.11,52,87,6.62,CN,1603824924
Krasnorechenskiy,44.63,135.35,36.18,86,12,1.1,RU,1603824927
Moniquirá,5.88,-73.57,74.25,65,86,4.16,CO,1603824931
Angren,41.02,70.14,50.0,44,100,4.03,UZ,1603824934
Iralaya,15.0,-83.23,83.75,74,100,10.07,HN,1603824937
Karratha,-20.74,116.85,66.72,89,88,1.23,AU,1603824903
Macaé,-22.37,-41.79,78.8,78,0,8.05,BR,1603824665
Lufilufi,-13.87,-171.6,78.8,88,20,4.7,WS,1603824946
Agirish,61.92,63.02,20.7,94,96,4.27,RU,1603824949
Soldotna,60.49,-151.06,30.99,92,1,4.27,US,1603824952
Virden,39.5,-89.77,41.0,92,27,1.01,US,1603824955
Omsukchan,62.53,155.8,7.56,81,4,1.45,RU,1603824959
Kalmunai,7.42,81.82,79.9,79,79,4.18,LK,1603824819
Beringovskiy,63.05,179.32,27.21,92,94,11.77,RU,1603824965
Salalah,17.02,54.09,80.6,65,20,4.7,OM,1603824923
Kavieng,-2.57,150.8,81.84,69,100,2.33,PG,1603824725
Rocha,-34.48,-54.33,60.76,81,100,11.81,UY,1603824921
Tiznit Province,29.58,-9.5,62.98,69,0,4.38,MA,1603824977
Mandera,3.94,41.87,81.84,66,46,16.67,KE,1603824980
Catia La Mar,10.6,-67.03,85.1,67,78,8.79,VE,1603824983
Hamilton,39.18,-84.53,54.0,81,90,3.09,US,1603824954
Aykhal,66.0,111.5,-10.26,88,69,4.88,RU,1603824990
Letlhakane,-21.42,25.58,83.23,18,11,14.25,BW,1603824993
Hualmay,-11.1,-77.61,69.28,69,100,9.66,PE,1603824932
Anjozorobe,-18.4,47.87,60.8,93,75,6.93,MG,1603824999
Champerico,14.3,-91.92,87.8,62,40,4.7,GT,1603825002
Tateyama,34.98,139.87,60.8,77,40,8.05,JP,1603824963
Barañáin,42.81,-1.68,55.4,71,75,4.7,ES,1603825008
Kapoeta,4.77,33.59,81.72,52,0,6.4,SS,1603825011
Hobyo,5.35,48.53,79.9,79,11,10.2,SO,1603824816
Mīnāb,27.15,57.08,71.6,73,0,6.93,IR,1603825018
Grindavik,63.84,-22.43,41.0,56,0,27.51,IS,1603824919
Takanabe,32.13,131.5,60.6,84,61,4.12,JP,1603825024
Nālūt,30.33,10.85,63.93,36,0,10.63,LY,1603825027
Panshi,42.94,126.06,32.85,83,0,5.57,CN,1603825030
Balkhash,46.84,74.98,36.86,70,0,20.85,KZ,1603825033
Affery,6.32,-3.96,74.61,95,100,2.64,CI,1603825036
Nome,64.5,-165.41,30.2,86,90,3.33,US,1603824734
Gornyak,50.99,81.47,40.82,64,100,16.84,RU,1603825043
Vanimo,-2.67,141.3,77.94,78,100,2.55,PG,1603824924
Sinnamary,5.38,-52.95,84.87,67,59,11.77,GF,1603824950
Lastoursville,-0.81,12.73,75.45,91,100,1.41,GA,1603825052
Kailua,21.4,-157.74,78.8,83,20,3.36,US,1603825055
San Miguel de Cozumel,20.51,-86.95,84.2,70,90,9.17,MX,1603824781
Conakry,9.54,-13.68,82.89,80,90,8.75,GN,1603825061
Talcahuano,-36.72,-73.12,60.8,51,20,12.75,CL,1603825064
Sooke,48.37,-123.73,48.0,93,100,1.68,CA,1603825068
Yichun,47.7,128.9,28.2,94,0,3.06,CN,1603825071
Noumea,-22.28,166.46,68.0,72,0,6.93,NC,1603825061
Inuvik,68.35,-133.72,12.2,85,90,2.24,CA,1603824822
Petropavlovka,50.61,105.32,30.07,85,0,3.02,RU,1603825080
Huarmey,-10.07,-78.15,69.82,68,100,10.78,PE,1603825083
San Quintín,30.48,-115.95,70.41,22,0,5.79,MX,1603824964
Sertânia,-8.07,-37.26,83.14,49,100,0.94,BR,1603825089
Davila,18.47,120.58,80.6,94,75,2.24,PH,1603825093
Mokshan,53.44,44.61,36.0,53,77,7.67,RU,1603825096
Mayo,38.89,-76.51,64.99,72,90,4.7,US,1603825099
Halifax,44.65,-63.57,46.99,87,90,11.41,CA,1603824809
Azle,32.9,-97.55,37.0,100,90,12.75,US,1603825024
San Roque,36.21,-5.38,66.2,52,0,14.99,ES,1603825108
Wervik,50.81,3.06,53.01,91,100,11.99,BE,1603825111
Dorado,18.46,-66.27,87.8,66,75,18.34,PR,1603825114
